89,000000000720,1
45,000000000986,1
58,000000000433,3
6,000000000620,1
77,000000000990,1
60,000000000685,2
2,000000000198,1
48,000000000670,2
89,000000000086,1
37,000000000919,1
70,000000000581,1
60,000000000736,1
10,000000000583,3
53,000000000378,2
14,000000000096,1
94,000000000915,2
39,000000000886,1
8,000000000041,2
43,000000000613,1
41,000000000541,3
5,000000000793,3
18,000000000015,1
63,000000000432,2
34,000000000286,2
99,000000000741,1
82,000000000081,2
55,000000000665,2
13,000000000252,1
89,000000000834,2
14,000000000893,1
63,000000000107,3
74,000000000104,2
4,000000000957,1
72,000000000441,2
60,000000000815,2
9,000000000161,1
6,000000000420,2
16,000000000632,1
15,000000000479,3
9,000000000200,1
12,000000000242,1
64,000000000794,3
68,000000000314,2
98,000000000493,3
93,000000000158,2
34,000000000373,1
44,000000000747,3
49,000000000868,1
8,000000000517,3
14,000000000379,2
96,000000000136,2
30,000000000133,1
19,000000000172,1
79,000000000037,2
71,000000000635,2
9,000000000869,1
98,000000000574,2
18,000000000320,2
9,000000000176,2
21,000000000370,2
89,000000000897,1
65,000000000400,2
50,000000000968,2
21,000000000870,2
33,000000000549,2
86,000000000529,3
46,000000000543,3
38,000000000134,2
40,000000000982,3
57,000000000110,3
66,000000000495,2
83,000000000260,3
53,000000000233,2
61,000000000556,3
34,000000000280,3
56,000000000564,3
57,000000000448,2
77,000000000060,3
56,000000000303,3
62,000000000252,3
68,000000000811,1
7,000000000510,2
33,000000000713,2
51,000000000028,3
50,000000000082,3
9,000000000204,3
91,000000000298,1
95,000000000599,2
77,000000000131,1
81,000000000960,2
39,000000000554,2
40,000000000249,2
96,000000000182,1
59,000000000050,3
99,000000000417,1
12,000000000006,1
44,000000000903,1
7,000000000025,3
81,000000000825,2
85,000000000103,1
83,000000000965,1
82,000000000834,1
66,000000000342,1
38,000000000403,3
52,000000000979,2
72,000000000690,1
19,000000000286,2
69,000000000600,2
94,000000000768,3
23,000000000250,2
57,000000000769,2
49,000000000070,3
1,000000000732,1
66,000000000075,2
56,000000000742,2
91,000000000128,2
36,000000000696,2
59,000000000668,1
1,000000000990,1
86,000000000407,1
76,000000000263,1
63,000000000045,3
91,000000000370,3
93,000000000993,2
68,000000000622,3
49,000000000620,2
2,000000000433,1
32,000000000015,1
43,000000000013,3
73,000000000726,2
56,000000000656,3
22,000000000138,3
64,000000000677,3
64,000000000859,3
24,000000000276,2
47,000000000187,2
12,000000000628,3
73,000000000464,2
10,000000000497,2
91,000000000672,2
27,000000000847,2
3,000000000186,2
40,000000000827,2
88,000000000355,1
56,000000000256,1
89,000000000754,3
85,000000000932,3
65,000000000688,3
64,000000000816,2
52,000000000104,3
86,000000000121,3
86,000000000347,2
35,000000000297,3
34,000000000745,3
49,000000000157,3
73,000000000765,2
38,000000000336,3
97,000000000790,1
32,000000000124,2
66,000000000416,3
3,000000000089,1
4,000000000080,3
71,000000000634,3
27,000000000353,2
95,000000000438,2
28,000000000397,1
